,FRT,CMG
2014-03-31,114.089996,570.73999
2014-03-28,113.660004,561.5
2014-03-27,112.209999,564.0
2014-03-26,113.360001,573.450012
2014-03-25,112.550003,590.119995
2014-03-24,113.309998,610.210022
2014-03-21,111.949997,616.469971
2014-03-20,109.410004,595.690002
2014-03-19,111.400002,588.52002
2014-03-18,110.599998,582.349976
2014-03-17,111.510002,580.460022
2014-03-14,110.629997,575.02002
2014-03-13,111.400002,589.469971
2014-03-12,110.589996,583.280029
2014-03-11,110.410004,589.039978
2014-03-10,110.139999,589.820007
2014-03-07,110.510002,599.799988
2014-03-06,111.209999,584.109985
2014-03-05,112.220001,585.0
2014-03-04,112.0,561.47998
2014-03-03,110.849998,561.0
2014-02-28,110.639999,562.25
2014-02-27,111.279999,551.640015
2014-02-26,111.949997,557.059998
2014-02-25,111.0,557.049988
2014-02-24,111.970001,550.950012
2014-02-21,110.849998,551.380005
2014-02-20,111.389999,551.109985
2014-02-19,111.410004,553.820007
2014-02-18,111.610001,551.169983
2014-02-14,111.019997,552.0
2014-02-13,110.440002,539.609985
2014-02-12,112.120003,548.950012
2014-02-11,112.830002,548.280029
2014-02-10,112.5,552.47998
2014-02-07,112.019997,543.280029
2014-02-06,110.459999,542.609985
2014-02-05,108.480003,538.809998
2014-02-04,106.449997,546.460022
2014-02-03,108.529999,550.210022
2014-01-31,107.5,553.419983
2014-01-30,108.559998,486.959991
2014-01-29,111.449997,490.0
2014-01-28,106.550003,491.950012
2014-01-27,107.110001,492.359985
2014-01-24,107.5,495.26001
2014-01-23,106.110001,512.799988
2014-01-22,105.400002,528.530029
2014-01-21,104.43,531.710022
2014-01-17,104.760002,535.640015
2014-01-16,104.769997,532.869995
2014-01-15,105.970001,534.0
2014-01-14,104.330002,531.97998
2014-01-13,104.389999,539.710022
2014-01-10,103.660004,542.080017
2014-01-09,103.639999,536.950012
2014-01-08,103.709999,529.5
2014-01-07,103.339996,528.799988
2014-01-06,103.050003,534.719971
2014-01-03,101.129997,524.0
2014-01-02,101.379997,530.0
2013-12-31,101.260002,533.799988
2013-12-30,100.779999,530.330017
2013-12-27,101.910004,536.840027
2013-12-26,102.529999,532.590027
2013-12-24,101.779999,529.98999
2013-12-23,102.300003,535.5
2013-12-20,101.110001,517.280029
2013-12-19,102.349998,517.0
2013-12-18,101.0,510.049988
2013-12-17,101.120003,515.789978
2013-12-16,100.760002,514.700012
2013-12-13,100.93,518.51001
2013-12-12,101.169998,516.320007
2013-12-11,103.57,523.309998
2013-12-10,104.0,525.919983
2013-12-09,103.540001,525.710022
2013-12-06,104.339996,521.0
2013-12-05,103.010002,518.200012
2013-12-04,104.010002,520.549988
2013-12-03,103.010002,523.330017
2013-12-02,103.25,521.5
2013-11-29,105.25,525.23999
2013-11-27,104.900002,526.210022
2013-11-26,104.419998,532.159973
2013-11-25,105.5,537.549988
2013-11-22,105.870003,544.0
2013-11-21,105.639999,534.900024
2013-11-20,106.010002,536.0
2013-11-19,106.809998,539.0
2013-11-18,107.730003,547.22998
2013-11-15,107.120003,545.98999
2013-11-14,105.970001,534.299988
2013-11-13,104.489998,534.549988
2013-11-12,105.080002,535.76001
2013-11-11,105.169998,535.710022
2013-11-08,105.040001,527.799988
2013-11-07,107.019997,540.01001
2013-11-06,109.400002,543.210022
2013-11-05,107.269997,535.030029
2013-11-04,108.160004,529.5
2013-11-01,108.82,526.780029
2013-10-31,104.779999,521.440002
2013-10-30,105.839996,528.950012
2013-10-29,105.709999,527.98999
2013-10-28,107.360001,527.0
2013-10-25,106.889999,522.049988
2013-10-24,106.199997,521.130005
2013-10-23,105.849998,515.02002
2013-10-22,105.480003,509.079987
2013-10-21,106.550003,509.589996
2013-10-18,107.099998,481.049988
2013-10-17,105.349998,438.600006
2013-10-16,104.790001,436.570007
2013-10-15,105.489998,441.429993
2013-10-14,104.269997,441.420013
2013-10-11,103.389999,439.200012
2013-10-10,101.669998,432.070007
2013-10-09,102.089996,430.0
2013-10-08,102.889999,432.119995
2013-10-07,102.07,430.0
2013-10-04,102.400002,426.5
2013-10-03,102.989998,426.149994
2013-10-02,102.900002,425.670013
2013-10-01,101.730003,429.190002
2013-09-30,101.709999,422.640015
2013-09-27,102.080002,417.98999
2013-09-26,101.580002,416.25
2013-09-25,101.940002,418.73999
2013-09-24,102.480003,418.420013
2013-09-23,102.379997,415.350006
2013-09-20,104.32,420.929993
2013-09-19,104.720001,426.75
2013-09-18,101.040001,425.399994
2013-09-17,100.580002,424.859985
2013-09-16,101.309998,427.519989
2013-09-13,99.720001,423.850006
2013-09-12,100.25,420.299988
2013-09-11,99.610001,416.829987
2013-09-10,99.82,413.25
2013-09-09,98.910004,408.540009
2013-09-06,97.940002,408.779999
2013-09-05,97.860001,409.170013
2013-09-04,97.279999,406.299988
2013-09-03,97.970001,410.25
2013-08-30,99.190002,406.329987
2013-08-29,97.730003,403.940002
2013-08-28,99.410004,401.5
2013-08-27,99.089996,398.529999
2013-08-26,100.389999,405.0
2013-08-23,99.919998,403.950012
2013-08-22,99.669998,405.700012
2013-08-21,100.269997,406.459991
2013-08-20,98.989998,407.369995
2013-08-19,100.059998,401.600006
2013-08-16,101.980003,401.329987
2013-08-15,102.120003,401.940002
2013-08-14,103.160004,405.23999
2013-08-13,103.519997,401.940002
2013-08-12,104.040001,403.5
2013-08-09,102.699997,405.790009
2013-08-08,104.0,404.920013
2013-08-07,103.830002,404.649994
2013-08-06,104.209999,411.609985
2013-08-05,104.129997,411.48999
2013-08-02,105.900002,414.600006
2013-08-01,106.099998,414.899994
2013-07-31,106.290001,407.890015
2013-07-30,106.230003,406.290009
2013-07-29,105.879997,404.459991
2013-07-26,105.129997,402.829987
2013-07-25,104.199997,400.410004
2013-07-24,107.440002,396.75
2013-07-23,106.099998,401.339996
2013-07-22,105.860001,405.320007
2013-07-19,105.589996,399.049988
2013-07-18,105.209999,375.98999
2013-07-17,105.849998,379.790009
2013-07-16,105.550003,383.0
2013-07-15,105.230003,385.420013
2013-07-12,104.489998,384.209991
2013-07-11,104.300003,382.5
2013-07-10,103.290001,385.73999
2013-07-09,102.620003,387.850006
2013-07-08,102.089996,387.390015
2013-07-05,102.93,386.0
2013-07-03,103.190002,374.98999
2013-07-02,102.260002,364.670013
2013-07-01,104.120003,366.450012
2013-06-28,103.230003,363.160004
2013-06-27,100.459999,364.950012
2013-06-26,99.339996,364.0
2013-06-25,97.290001,361.059998
2013-06-24,96.160004,357.720001
2013-06-21,96.82,363.26001
2013-06-20,99.510002,363.619995
